brand,model,price,cpu,gpu,ram,storage,screen_size,screen_type,battery,weight,purpose
Asus,Model-000,7111138,AMD Ryzen 7,Intel UHD,8,1TB HDD,15,TN,3395,1.25,Creator
Asus,Model-001,16780450,Intel i5,AMD Radeon,32,512GB SSD,13,TN,4555,2.32,Gaming
Dell,Model-002,22469344,Intel i5,AMD Radeon,32,512GB SSD,14,TN,5308,1.68,Office
HP,Model-003,7109818,Intel i7,Intel UHD,4,256GB SSD,13,IPS,3804,2.68,Student
MSI,Model-004,7231785,Intel i5,NVIDIA RTX 3060,4,256GB HDD,15,TN,3933,2.75,Gaming
Acer,Model-005,16483302,Intel i3,NVIDIA GTX 1650,32,512GB HDD,15,IPS,4279,2.71,Gaming
HP,Model-006,18853339,AMD Ryzen 7,AMD Radeon,32,256GB HDD,15,IPS,4757,1.96,Gaming
Dell,Model-007,24467719,AMD Ryzen 5,Intel UHD,16,256GB HDD,13,IPS,3904,2.58,Creator
Dell,Model-008,5996107,Intel i5,NVIDIA RTX 3050,8,256GB HDD,13,OLED,4076,2.55,Student
HP,Model-009,11521441,Intel i3,Intel UHD,16,512GB SSD,13,IPS,5987,1.71,Office
Dell,Model-010,9545583,AMD Ryzen 5,NVIDIA RTX 3050,4,512GB SSD,13,IPS,4890,2.53,Creator
HP,Model-011,6870230,AMD Ryzen 7,NVIDIA RTX 3060,4,512GB SSD,15,OLED,4523,1.26,Creator
Lenovo,Model-012,8747389,AMD Ryzen 5,NVIDIA GTX 1650,4,1TB HDD,15,IPS,5901,2.15,Creator
HP,Model-013,9142807,Intel i3,Intel UHD,4,1TB SSD,14,TN,4387,1.57,Gaming
HP,Model-014,19988004,AMD Ryzen 5,AMD Radeon,32,1TB SSD,14,TN,4303,1.39,Student
Dell,Model-015,21245035,Intel i7,NVIDIA RTX 3060,4,1TB SSD,13,IPS,3592,1.32,Creator
Dell,Model-016,15602279,AMD Ryzen 5,Intel UHD,32,1TB SSD,17,OLED,5761,2.31,Office
Asus,Model-017,17515989,Intel i5,AMD Radeon,32,512GB HDD,17,TN,5679,1.74,Student
Asus,Model-018,14121690,Intel i5,Intel UHD,4,256GB SSD,15,OLED,5106,2.36,Office
Lenovo,Model-019,7991650,Intel i7,NVIDIA RTX 3050,4,1TB SSD,15,OLED,3127,1.3,Student
Asus,Model-020,14493120,Intel i3,Intel UHD,8,256GB HDD,15,TN,3735,1.7,Office
HP,Model-021,15491234,Intel i5,Intel UHD,16,512GB SSD,14,OLED,5768,2.06,Gaming
Dell,Model-022,9948260,AMD Ryzen 7,Intel UHD,4,512GB SSD,14,TN,5573,2.47,Creator
Asus,Model-023,16333486,Intel i5,NVIDIA RTX 3060,8,1TB SSD,15,OLED,3520,1.71,Office
Asus,Model-024,13521101,Intel i5,Intel UHD,8,256GB HDD,15,TN,5599,2.2,Student
Lenovo,Model-025,13401218,Intel i3,AMD Radeon,16,512GB SSD,15,IPS,3236,2.62,Creator
MSI,Model-026,12378368,AMD Ryzen 5,NVIDIA RTX 3050,32,512GB SSD,17,TN,4304,2.19,Creator
Lenovo,Model-027,12408324,Intel i5,NVIDIA RTX 3050,4,512GB SSD,14,TN,4781,1.57,Student
HP,Model-028,15136729,Intel i7,Intel UHD,16,256GB SSD,17,TN,4301,1.24,Office
Dell,Model-029,18914550,AMD Ryzen 5,NVIDIA RTX 3060,4,512GB HDD,17,TN,5541,2.59,Gaming
Lenovo,Model-030,21167294,AMD Ryzen 7,NVIDIA RTX 3060,8,512GB SSD,15,OLED,5051,1.23,Gaming
Asus,Model-031,24286029,Intel i3,AMD Radeon,8,512GB HDD,15,IPS,5713,2.6,Office
Dell,Model-032,18906726,AMD Ryzen 7,Intel UHD,32,256GB SSD,13,TN,3441,2.05,Creator
Dell,Model-033,13888794,AMD Ryzen 5,NVIDIA RTX 3050,8,256GB HDD,13,OLED,5076,2.7,Creator
Asus,Model-034,13362056,AMD Ryzen 5,NVIDIA RTX 3060,8,256GB SSD,17,IPS,5657,2.48,Creator
Lenovo,Model-035,22558158,AMD Ryzen 5,Intel UHD,16,256GB HDD,14,IPS,3804,2.8,Creator
Asus,Model-036,18510425,AMD Ryzen 7,NVIDIA RTX 3060,4,1TB HDD,15,IPS,3074,1.76,Office
MSI,Model-037,23511017,AMD Ryzen 5,NVIDIA RTX 3060,4,512GB SSD,15,IPS,5885,2.43,Creator
Dell,Model-038,22887739,AMD Ryzen 7,NVIDIA RTX 3050,16,1TB HDD,17,TN,5175,1.84,Student
Acer,Model-039,7016716,AMD Ryzen 5,NVIDIA GTX 1650,32,256GB SSD,13,TN,5089,1.97,Creator
Acer,Model-040,7350770,Intel i7,AMD Radeon,4,512GB HDD,14,OLED,4379,2.2,Gaming
HP,Model-041,5769598,AMD Ryzen 5,AMD Radeon,8,256GB HDD,13,OLED,3040,2.6,Creator
Asus,Model-042,13292895,AMD Ryzen 7,NVIDIA RTX 3050,4,256GB SSD,13,OLED,5981,2.77,Office
Asus,Model-043,19064294,Intel i5,NVIDIA RTX 3060,8,256GB HDD,13,IPS,5081,2.43,Gaming
HP,Model-044,15267824,AMD Ryzen 5,Intel UHD,32,1TB SSD,13,IPS,4700,1.87,Office
HP,Model-045,19971379,Intel i5,NVIDIA RTX 3060,16,1TB HDD,15,TN,4401,1.87,Office
HP,Model-046,15331068,Intel i7,NVIDIA RTX 3050,4,512GB HDD,15,IPS,3587,2.38,Gaming
Dell,Model-047,8256415,Intel i3,AMD Radeon,16,512GB HDD,13,IPS,4622,1.58,Office
MSI,Model-048,8874371,Intel i7,NVIDIA RTX 3060,4,1TB HDD,14,IPS,3341,1.38,Office
Asus,Model-049,13654237,AMD Ryzen 5,AMD Radeon,8,512GB SSD,17,OLED,5074,1.77,Creator
Dell,Model-050,7832868,Intel i5,Intel UHD,16,512GB HDD,14,OLED,3645,1.66,Student
HP,Model-051,13348758,Intel i5,AMD Radeon,4,1TB HDD,14,TN,3730,1.67,Office
Asus,Model-052,8872998,AMD Ryzen 7,AMD Radeon,8,1TB SSD,14,IPS,3167,1.57,Office
Dell,Model-053,12973548,Intel i5,NVIDIA GTX 1650,16,1TB SSD,13,IPS,3609,1.27,Office
MSI,Model-054,8344014,AMD Ryzen 7,NVIDIA GTX 1650,16,1TB HDD,15,TN,5315,1.23,Creator
Dell,Model-055,19064746,Intel i3,NVIDIA GTX 1650,4,1TB SSD,14,IPS,4772,2.78,Student
MSI,Model-056,13213475,AMD Ryzen 5,AMD Radeon,4,256GB HDD,13,IPS,5040,1.88,Gaming
HP,Model-057,21216204,AMD Ryzen 7,NVIDIA RTX 3050,4,512GB HDD,14,OLED,5868,1.81,Creator
MSI,Model-058,8470495,Intel i3,AMD Radeon,8,1TB SSD,14,TN,3454,2.29,Creator
Asus,Model-059,20193542,Intel i5,NVIDIA RTX 3050,4,1TB HDD,13,TN,5953,1.55,Student
HP,Model-060,7959034,Intel i5,NVIDIA RTX 3050,16,256GB SSD,15,TN,4708,2.72,Student
Asus,Model-061,11122738,Intel i3,NVIDIA GTX 1650,16,256GB HDD,15,TN,5969,2.46,Creator
Acer,Model-062,19574293,Intel i5,NVIDIA RTX 3060,4,512GB SSD,17,OLED,3701,1.34,Gaming
Lenovo,Model-063,21706971,Intel i3,Intel UHD,4,256GB SSD,13,OLED,5681,1.87,Creator
MSI,Model-064,5043585,AMD Ryzen 7,NVIDIA GTX 1650,32,1TB HDD,17,IPS,4599,2.61,Student
Lenovo,Model-065,13614249,AMD Ryzen 7,NVIDIA GTX 1650,16,512GB HDD,17,IPS,3129,2.71,Gaming
Lenovo,Model-066,18355500,Intel i3,NVIDIA RTX 3060,8,256GB SSD,17,IPS,4845,1.95,Student
MSI,Model-067,17539448,AMD Ryzen 7,Intel UHD,32,256GB HDD,15,IPS,4386,2.18,Gaming
HP,Model-068,12109556,AMD Ryzen 7,AMD Radeon,4,256GB HDD,13,OLED,5866,1.47,Office
Acer,Model-069,9575557,AMD Ryzen 7,AMD Radeon,4,512GB SSD,17,TN,3692,2.79,Student
Asus,Model-070,14255387,Intel i7,NVIDIA GTX 1650,16,256GB SSD,13,OLED,4394,1.57,Student
Dell,Model-071,12027419,AMD Ryzen 5,Intel UHD,4,512GB SSD,13,IPS,3793,2.71,Creator
Asus,Model-072,23306461,Intel i5,NVIDIA GTX 1650,8,1TB HDD,15,OLED,3028,2.24,Student
Dell,Model-073,10009021,Intel i7,NVIDIA RTX 3050,16,512GB SSD,17,TN,3148,2.17,Student
Asus,Model-074,16201482,AMD Ryzen 7,NVIDIA GTX 1650,4,256GB HDD,17,TN,4319,2.02,Office
MSI,Model-075,8542335,Intel i3,NVIDIA GTX 1650,16,1TB HDD,13,OLED,5058,1.57,Student
